,DE_load_actual_entsoe_transparency
1063,48281.0
1064,52149.0
1065,55204.0
1066,56783.0
1067,57598.0
1068,56054.0
1069,53811.0
1070,52237.0
1071,51334.0
1072,51591.0
1073,54665.0
1074,58697.0
1075,56894.0
1076,53466.0
1077,51102.0
1078,50830.0
1079,48039.0
1080,45129.0
1081,43250.0
1082,42325.0
1083,42065.0
1084,41661.0
1085,41061.0
1086,40472.0
1087,41845.0
1088,45271.0
1089,48903.0
1090,51250.0
1091,53106.0
1092,51978.0
1093,49258.0
1094,47704.0
1095,46859.0
1096,46823.0
1097,50131.0
1098,55058.0
1099,54440.0
1100,52019.0
1101,50496.0
1102,50754.0
1103,48183.0
1104,45781.0
1105,44112.0
1106,43426.0
1107,44038.0
1108,45426.0
1109,48741.0
1110,55375.0
1111,60927.0
1112,64009.0
1113,65821.0
1114,67281.0
1115,67776.0
1116,67033.0
1117,65735.0
1118,64098.0
1119,62926.0
1120,61866.0
1121,63735.0
1122,67527.0
1123,66727.0
1124,62597.0
1125,59863.0
1126,58032.0
1127,54456.0
1128,51442.0
1129,49392.0
1130,48242.0
1131,48275.0
1132,49445.0
1133,52154.0
1134,58511.0
1135,64230.0
1136,66654.0
1137,67988.0
1138,69106.0
1139,70261.0
1140,69507.0
1141,68227.0
1142,67047.0
1143,66068.0
1144,65273.0
1145,67240.0
1146,69076.0
1147,67533.0
1148,63640.0
1149,60315.0
1150,57928.0
1151,53825.0
1152,50535.0
1153,48471.0
1154,47292.0
1155,47789.0
1156,49052.0
1157,52152.0
1158,59336.0
1159,65511.0
1160,68092.0
1161,68986.0
1162,69892.0
1163,70411.0
1164,69571.0
1165,68638.0
1166,67572.0
1167,66351.0
1168,65321.0
1169,66769.0
1170,70094.0
1171,69567.0
1172,65293.0
1173,61965.0
1174,59342.0
1175,55241.0
1176,51904.0
1177,50002.0
1178,49073.0
1179,49159.0
1180,50408.0
1181,53122.0
1182,59963.0
1183,65939.0
1184,68232.0
1185,68785.0
1186,69338.0
1187,70156.0
1188,68874.0
1189,68467.0
1190,67466.0
1191,66292.0
1192,64692.0
1193,66194.0
1194,70532.0
1195,70044.0
1196,65873.0
1197,62723.0
1198,60188.0
1199,56213.0
1200,52924.0
1201,50961.0
1202,49882.0
1203,49945.0
1204,50681.0
1205,53178.0
1206,59870.0
1207,65397.0
1208,67260.0
1209,67964.0
1210,69243.0
1211,69495.0
1212,68643.0
1213,67283.0
1214,64653.0
1215,63348.0
1216,62782.0
1217,64303.0
1218,67238.0
1219,66352.0
1220,62115.0
1221,58728.0
1222,56590.0
1223,52744.0
1224,48950.0
1225,47205.0
1226,45738.0
1227,44978.0
1228,45031.0
1229,44916.0
1230,45543.0
1231,48592.0
1232,52345.0
1233,55512.0
1234,58032.0
1235,59687.0
1236,59178.0
1237,57274.0
1238,55377.0
1239,53796.0
1240,53013.0
1241,54707.0
1242,58267.0
1243,57300.0
1244,53612.0
1245,51120.0
1246,50722.0
1247,47964.0
1248,44720.0
1249,42571.0
1250,41787.0
1251,41308.0
1252,41240.0
1253,40525.0
1254,39770.0
1255,41269.0
1256,44536.0
1257,48136.0
1258,50553.0
1259,53190.0
1260,52532.0
1261,50289.0
1262,48562.0
1263,47592.0
1264,47308.0
1265,50366.0
1266,55640.0
1267,55409.0
1268,52956.0
1269,51742.0
1270,52143.0
1271,49564.0
1272,46953.0
1273,45922.0
1274,45169.0
1275,45984.0
1276,47684.0
1277,51330.0
1278,59258.0
1279,64968.0
1280,68025.0
1281,69748.0
1282,71113.0
1283,71989.0
1284,71395.0
1285,70653.0
1286,69262.0
1287,67413.0
1288,66165.0
1289,66902.0
1290,69921.0
1291,68879.0
1292,64638.0
1293,61170.0
1294,58422.0
1295,54002.0
1296,50814.0
1297,49046.0
1298,48527.0
1299,48703.0
1300,49901.0
1301,52948.0
1302,60432.0
1303,65379.0
1304,67747.0
1305,68659.0
1306,69824.0
1307,70829.0
1308,70297.0
1309,69540.0
1310,68187.0
1311,66902.0
1312,65384.0
1313,66139.0
1314,69650.0
1315,68553.0
1316,64495.0
1317,61108.0
1318,58621.0
1319,54038.0
1320,50798.0
1321,48867.0
1322,48063.0
1323,48284.0
1324,49309.0
1325,52486.0
1326,59789.0
1327,65091.0
1328,66891.0
1329,66627.0
1330,67751.0
1331,68946.0
1332,68383.0
1333,67623.0
1334,66231.0
1335,65227.0
1336,63942.0
1337,64948.0
1338,68857.0
1339,68159.0
1340,63997.0
1341,60917.0
1342,58181.0
1343,53705.0
1344,50240.0
1345,48407.0
1346,47567.0
1347,47841.0
1348,48911.0
1349,52093.0
1350,59972.0
1351,64824.0
1352,66556.0
1353,66816.0
1354,67456.0
1355,68028.0
1356,68324.0
1357,68412.0
1358,67302.0
1359,66027.0
1360,64925.0
1361,65180.0
1362,68292.0
1363,68188.0
